month,average_price
2015-1,414.56323100953165
2015-2,689.0001382656583
2015-3,1260.4921536742393
2015-4,1712.2175304484713
2015-5,1668.6491184228562
2015-6,1363.3389223086692
2015-7,1652.1059625926111
2015-8,2025.1789401520068
2015-9,2297.864659659266
2015-10,2422.1060727923605
2015-11,2388.896908505587
2015-12,2385.4127736764744
2016-1,2521.0528842263134
2016-2,2199.9478278082106
2016-3,1636.2731364585272
2016-4,1921.748598997247
2016-5,1713.9843191156835
2016-6,1759.5890868169795
2016-7,2046.5115458602093
2016-8,2190.208425732954
2016-9,2610.143125662594
2016-10,3593.3496753188847
2016-11,3062.0547815283603
2016-12,2329.206655938921
2017-1,2467.2702458646304
2017-2,2577.778593120768
2017-3,2799.046343989319
2017-4,2932.024534759174
2017-5,2411.162562259536
2017-6,2542.7088665484293
2017-7,2406.4398688347305
2017-8,2355.942161907025
2017-9,1885.5603057710462
2017-10,2050.542989777688
2017-11,2875.8966089700352
2017-12,3916.7209847082086
2018-1,3363.4394407334057
2018-2,4085.2978842387747
2018-3,4364.661313587869
2018-4,3855.5862043246825
2018-5,5143.821287531567
2018-6,4527.547383192499
2018-7,5390.262457495715
2018-8,5973.785847846235
2018-9,5344.153852240626
2018-10,5840.177914151256
2018-11,5359.967538466282
2018-12,5550.176203242585
2019-1,4959.867278257461
2019-2,4101.186174797824
2019-3,3732.4855073008157
2019-4,3387.6201295600986
2019-5,2687.006326616151
2019-6,2057.3031327040726
2019-7,1761.3707295831807
2019-8,1422.8334969683344
2019-9,1702.2110516800622
2019-10,1579.9343245625682
2019-11,1141.4187512314788
2019-12,898.0172603299146
